
============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***3***1627597313.692413***COMMAND:CONNECT***       4367***      4370*** 

>>>>>> Average Network Delay for command packets: 4.000000 MilliSec.

LteSignalStrength= 0.000550 dBm*** LteSINR= 1159982888766.325195 dBm 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***2***1627597313.69198***COMMAND:CONNECT***       4367***      4371*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***4***1627597313.692825***COMMAND:CONNECT***       4367***      4372*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***1***1627597313.691275***COMMAND:CONNECT***       4367***      4373*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_004***5***1627597313.693278***COMMAND:CONNECT***       4367***      4374*** 

WifiSignalStrength= -73.783019 dBm*** WifiNoise= -93.965985 dBm 

============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***1***1627597316.34***TELEMETRY#last_heartbeat|0.14900596696#***       5436***      5449*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***1***1627597316.33***TELEMETRY#last_heartbeat|0.148786770063#***       5436***      5449*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_003***1***1627597316.34***TELEMETRY#last_heartbeat|0.14908327302#***       5438***      5450*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***1***1627597316.34***TELEMETRY#last_heartbeat|0.148790162988#***       5439***      5451*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_004***1***1627597316.35***TELEMETRY#last_heartbeat|0.148914005957#***       5442***      5454*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***2***1627597317.36***TELEMETRY#last_heartbeat|0.194991205004#***       5834***      5848*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***2***1627597317.36***TELEMETRY#last_heartbeat|0.194907824975#***       5834***      5849*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***2***1627597317.37***TELEMETRY#last_heartbeat|0.195603340049#***       5838***      5851*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_003***2***1627597317.37***TELEMETRY#last_heartbeat|0.195529926103#***       5838***      5851*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_004***2***1627597317.37***TELEMETRY#last_heartbeat|0.194925172022#***       5839***      5852*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***3***1627597318.32***STATUS#CONNECT|True***       6198***      6210*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***3***1627597318.32***STATUS#CONNECT|True***       6199***      6211*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_003***3***1627597318.32***STATUS#CONNECT|True***       6200***      6212*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***3***1627597318.33***STATUS#CONNECT|True***       6202***      6214*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_004***3***1627597318.33***STATUS#CONNECT|True***       6204***      6216*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***4***1627597318.38***TELEMETRY#last_heartbeat|0.245114607969#***       6215***      6234*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***4***1627597318.38***TELEMETRY#last_heartbeat|0.246046338929#***       6217***      6236*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***4***1627597318.38***TELEMETRY#last_heartbeat|0.245389551041#***       6215***      6236*** 


============= UAV to GCS: Telemetry Packets==============
