
============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***2***1626158889.421271***COMMAND:CONNECT***       9081***      9084*** 

>>>>>> Average Network Delay for command packets: 4.000000 MilliSec.

LteSignalStrength= 0.001902 dBm*** LteSINR= 4009633750561.613770 dBm 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***4***1626158889.422382***COMMAND:CONNECT***       9081***      9085*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***1***1626158889.420485***COMMAND:CONNECT***       9081***      9086*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***3***1626158889.421792***COMMAND:CONNECT***       9081***      9087*** 

WifiSignalStrength= -74.403909 dBm*** WifiNoise= -93.965985 dBm 

============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***1***1626158892.06***TELEMETRY#last_heartbeat|0.1494762#***      10803***     10815*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_003***1***1626158892.06***TELEMETRY#last_heartbeat|0.1494612#***      10804***     10817*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***1***1626158892.07***TELEMETRY#last_heartbeat|0.1506996#***      10806***     10818*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***1***1626158892.07***TELEMETRY#last_heartbeat|0.1501439#***      10809***     10828*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***2***1626158893.08***TELEMETRY#last_heartbeat|0.1959059#***      11455***     11476*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_003***2***1626158893.08***TELEMETRY#last_heartbeat|0.1945907#***      11456***     11477*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***2***1626158893.09***TELEMETRY#last_heartbeat|0.1952275#***      11457***     11478*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***2***1626158893.09***TELEMETRY#last_heartbeat|0.1949025#***      11460***     11479*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***3***1626158894.04***STATUS#CONNECT|True***      12055***     12076*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***3***1626158894.05***STATUS#CONNECT|True***      12059***     12079*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_003***3***1626158894.05***STATUS#CONNECT|True***      12059***     12079*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***3***1626158894.05***STATUS#CONNECT|True***      12061***     12080*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***4***1626158894.1***TELEMETRY#last_heartbeat|0.2459635#***      12079***     12087*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***4***1626158894.11***TELEMETRY#last_heartbeat|0.2454616#***      12081***     12093*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_003***4***1626158894.1***TELEMETRY#last_heartbeat|0.2452171#***      12080***     12093*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***4***1626158894.11***TELEMETRY#last_heartbeat|0.2453116#***      12083***     12095*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***5***1626158895.12***TELEMETRY#last_heartbeat|0.2941515#***      12710***     12728*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_003***5***1626158895.13***TELEMETRY#last_heartbeat|0.2944936#***      12713***     12729*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***5***1626158895.13***TELEMETRY#last_heartbeat|0.2950617#***      12714***     12730*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***5***1626158895.13***TELEMETRY#last_heartbeat|0.2943551#***      12717***     12731*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***6***1626158896.16***TELEMETRY#last_heartbeat|0.3471492#***      13429***     13448*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_003***6***1626158896.16***TELEMETRY#last_heartbeat|0.3486997#***      13431***     13449*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***6***1626158896.16***TELEMETRY#last_heartbeat|0.3471631#***      13431***     13450*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***6***1626158896.17***TELEMETRY#last_heartbeat|0.3477206#***      13437***     13451*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***7***1626158897.2***TELEMETRY#last_heartbeat|1.3904947#***      14153***     14168*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_003***7***1626158897.2***TELEMETRY#last_heartbeat|1.3900368#***      14154***     14169*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***7***1626158897.21***TELEMETRY#last_heartbeat|1.3907481#***      14155***     14170*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***7***1626158897.21***TELEMETRY#last_heartbeat|1.3905389#***      14159***     14171*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***8***1626158898.23***TELEMETRY#last_heartbeat|2.4223371#***      14791***     14809*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_003***8***1626158898.24***TELEMETRY#last_heartbeat|2.4212274#***      14791***     14810*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***8***1626158898.24***TELEMETRY#last_heartbeat|2.4210071#***      14792***     14811*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***8***1626158898.25***TELEMETRY#last_heartbeat|2.4209645#***      14795***     14811*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***9***1626158899.27***TELEMETRY#last_heartbeat|0.5488615#***      15431***     15448*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_003***9***1626158899.28***TELEMETRY#last_heartbeat|0.5701347#***      15433***     15449*** 


============= UAV to GCS: Telemetry Packets==============
