
============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***1***1626069807.635213***COMMAND:CONNECT***      15889***     15892*** 

>>>>>> Average Network Delay for command packets: 4.000000 MilliSec.

LteSignalStrength= 0.002791 dBm*** LteSINR= 5883072552579.238281 dBm 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***3***1626069807.636312***COMMAND:CONNECT***      15889***     15893*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***2***1626069807.63587***COMMAND:CONNECT***      15889***     15894*** 

WifiSignalStrength= -75.322954 dBm*** WifiNoise= -93.965985 dBm 

============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***1***1626069810.28***TELEMETRY#last_heartbeat|0.149824#***      18437***     18449*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***1***1626069810.28***TELEMETRY#last_heartbeat|0.1492005#***      18439***     18452*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***1***1626069810.28***TELEMETRY#last_heartbeat|0.149332700001#***      18439***     18452*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***2***1626069811.3***TELEMETRY#last_heartbeat|0.1952038#***      19423***     19443*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***2***1626069811.3***TELEMETRY#last_heartbeat|0.1953134#***      19425***     19446*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***2***1626069811.31***TELEMETRY#last_heartbeat|0.1951672#***      19427***     19447*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***3***1626069812.26***STATUS#CONNECT|True***      20357***     20370*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***3***1626069812.26***STATUS#CONNECT|True***      20357***     20370*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***3***1626069812.27***STATUS#CONNECT|True***      20359***     20371*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***4***1626069812.32***TELEMETRY#last_heartbeat|0.2486655#***      20393***     20409*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***4***1626069812.32***TELEMETRY#last_heartbeat|0.24732#***      20393***     20410*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***4***1626069812.32***TELEMETRY#last_heartbeat|0.2462858#***      20389***     20424*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***5***1626069813.34***TELEMETRY#last_heartbeat|0.294024#***      21379***     21399*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***5***1626069813.34***TELEMETRY#last_heartbeat|0.2950748#***      21383***     21403*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***5***1626069813.34***TELEMETRY#last_heartbeat|0.2942135#***      21383***     21403*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***6***1626069814.37***TELEMETRY#last_heartbeat|0.3471623#***      22387***     22407*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***6***1626069814.38***TELEMETRY#last_heartbeat|0.3476507#***      22391***     22409*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***6***1626069814.38***TELEMETRY#last_heartbeat|0.3464714#***      22391***     22410*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***7***1626069815.42***TELEMETRY#last_heartbeat|1.3901205#***      23386***     23406*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***7***1626069815.42***TELEMETRY#last_heartbeat|1.3903332#***      23389***     23409*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***7***1626069815.42***TELEMETRY#last_heartbeat|1.3900681#***      23389***     23409*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***8***1626069816.48***TELEMETRY#last_heartbeat|2.4522427#***      24341***     24360*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***8***1626069816.5***TELEMETRY#last_heartbeat|2.4638548#***      24353***     24369*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***8***1626069816.5***TELEMETRY#last_heartbeat|2.4638134#***      24353***     24370*** 


